Date,Close,Open,High,Low,Volume,Change%
2026/7/24,64992.9,65073.7,65794.5,64757.7,53.86K,-0.15%
2026/7/23,65090.4,66089.6,66303.3,64665.7,52.51K,-1.53%
2026/7/22,66101.5,66544.1,66727.9,65562.4,61.34K,-0.66%
2026/7/21,66542.8,65186.3,66933.8,65150.9,65.72K,2.00%
2026/7/20,65238.3,64593,65784.7,63760,65.81K,0.80%
2026/7/19,64720.9,64849,64936.7,64282.1,32.24K,-0.16%
2026/7/18,64823.6,63925.5,64850.8,63881,27.90K,1.41%
2026/7/17,63925.1,63829.2,64364.8,62537.9,61.14K,0.14%
2026/7/16,63834.6,64747.8,64983.3,63742.7,61.96K,-1.41%
2026/7/15,64749.8,65029.3,65556.5,64482.9,58.82K,-0.41%
2026/7/14,65015.5,62319.8,65056.6,62271.9,65.96K,4.33%
2026/7/13,62319.8,63776.4,64392.1,61815.7,71.75K,-2.28%
2026/7/12,63776,63815.4,64251.1,63642.7,44.96K,-0.07%
2026/7/11,63818.6,64122.2,64489.8,63815.7,29.67K,-0.52%
2026/7/10,64154.1,63206.5,64673.1,62955.5,59.08K,1.47%
2026/7/9,63226.7,62264.6,63451.2,61696.6,61.49K,1.52%
2026/7/8,62282.8,63324.7,63726.3,61546.6,61.66K,-1.65%
2026/7/7,63325.1,64054.8,64287.9,62682.8,56.48K,-1.10%
2026/7/6,64028,63635.7,64600.6,61332.2,67.51K,0.62%
2026/7/5,63635.1,63135.3,63972.2,62477.1,31.93K,0.79%
2026/7/4,63135.3,62589.6,63441.5,62328.6,33.41K,0.85%
2026/7/3,62602.6,61546,62894.4,61239.3,47.53K,1.72%
2026/7/2,61546.2,60012.1,62169.3,59577.5,79.87K,2.55%
2026/7/1,60014.2,58619.6,61226.6,57832.5,76.79K,2.36%
2026/6/30,58630.8,60218,60231.3,58189.4,81.12K,-2.61%
2026/6/29,60205,59555.7,60753.8,58956.8,63.36K,1.09%
2026/6/28,59557.2,60011.9,60489.1,58941.4,29.75K,-0.76%
2026/6/27,60011.2,60104.5,60902,59871,32.47K,-0.13%
2026/6/26,60086.4,59790.1,60720.1,58345,83.66K,0.52%
2026/6/25,59776.7,61046.8,61938.3,58131.4,87.23K,-2.09%
2026/6/24,61052.5,62721.3,63106.2,59115.8,94.92K,-2.66%
2026/6/23,62721.3,63990.3,64258.8,61969.3,61.89K,-2.01%
2026/6/22,64005,63365.9,65555.3,63365.9,51.09K,1.13%
2026/6/21,63291.4,64263.2,64560.2,63276.8,33.17K,-1.58%
2026/6/20,64306.4,63557.3,64348,63197.7,36.30K,1.21%
2026/6/19,63539.8,62914.7,63625,62314.1,45.60K,0.95%
2026/6/18,62942.7,64525.2,64777.8,62269.7,63.08K,-2.39%
2026/6/17,64483.9,65710.8,66395,63932.6,58.68K,-1.79%
2026/6/16,65659.1,66318.4,66968.7,65360.1,47.76K,-1.00%
2026/6/15,66319.9,65743.2,67276.4,65359.7,67.57K,0.87%
2026/6/14,65744.9,64432,65787.3,63679,46.55K,2.04%
2026/6/13,64432,63561,64691.4,63461.7,35.71K,1.38%
2026/6/12,63555.6,63604.7,64371.5,62836.2,53.76K,-0.08%
2026/6/11,63606.1,61498.5,63864.4,61498.5,58.15K,3.42%
2026/6/10,61501.9,61722.9,62833.5,60800,54.67K,-0.34%
2026/6/9,61713.5,63082.4,63508.6,60801.4,102.27K,-2.17%
2026/6/8,63082.8,63320.2,64191.9,62419,72.14K,-0.39%
2026/6/7,63327.7,60881.5,63872.3,60749.2,78.55K,4.01%
2026/6/6,60883.4,61035.6,61506.3,59507.2,61.71K,-0.16%
2026/6/5,60979.3,63863.5,63942.2,59159.3,151.65K,-4.51%
2026/6/4,63861.8,65187.9,65290.2,61442.7,131.32K,-2.00%
2026/6/3,65167.9,66737.3,67467.4,64808.3,98.42K,-2.35%
2026/6/2,66739.2,71399.8,71399.8,66204.7,112.69K,-6.53%
2026/6/1,71398.8,73661.9,74045.7,70680.8,77.46K,-3.07%
2026/5/31,73658.9,73848,74256.7,73409.9,27.95K,-0.26%
2026/5/30,73847.9,73455.8,74112.6,73210.6,33.11K,0.54%
2026/5/29,73448.9,73710.3,74307.5,72531.5,64.38K,-0.21%
2026/5/28,73605.9,74496.7,74569.6,72592.2,72.18K,-1.11%
2026/5/27,74429.5,75910.5,76080.1,74232.1,54.27K,-1.95%
2026/5/26,75908.6,77309.3,78041.9,75659.7,58.62K,-1.83%
2026/5/25,77326,77127.6,77860.5,76921.3,29.43K,0.36%
2026/5/24,77049,76724.4,77349.7,76112.7,31.06K,0.41%
2026/5/23,76738,75512,77294.1,74346.5,51.37K,1.61%
2026/5/22,75525.8,77557.4,77883.2,75418,46.93K,-2.68%
2026/5/21,77603.6,77530.9,78165.2,76728.9,43.62K,0.09%
2026/5/20,77536,76828.9,77790.5,76518.9,42.62K,0.93%
2026/5/19,76820.4,76976.3,77384.3,76171.7,44.91K,-0.23%
2026/5/18,76993.7,77351.4,77769.2,76066,70.67K,-0.60%
2026/5/17,77456.8,78204.6,78578,76874.6,28.75K,-0.90%
2026/5/16,78156.8,79099.4,79221,77680.4,43.32K,-1.19%
2026/5/15,79099.5,81080.4,81642.3,78694.1,59.16K,-2.44%
2026/5/14,81080.4,79309.1,82029.4,78939.4,78.15K,2.23%
2026/5/13,79309.1,80498.1,81307.9,78755.6,58.00K,-1.48%
2026/5/12,80498.4,81741.3,81775.2,79858,52.17K,-1.52%
2026/5/11,81741.2,82190.7,82288.5,80528.7,47.74K,-0.55%
2026/5/10,82190.9,80689.2,82431.7,80313,40.02K,1.88%
2026/5/9,80677.8,80195.4,81058.2,80130,26.66K,0.60%
2026/5/8,80196.8,80019.1,80404.9,79274.1,50.78K,0.21%
2026/5/7,80025.3,81439.3,81703.2,79566.5,57.38K,-1.74%
2026/5/6,81444.6,80907.8,82791.3,80799,64.67K,0.66%
2026/5/5,80908.1,79828.1,81752.5,79812.5,63.39K,1.35%
2026/5/4,79828.2,78565.5,80684.8,78224.2,82.69K,1.61%
2026/5/3,78565.5,78684.9,79402.1,78083,26.99K,-0.15%
2026/5/2,78684.9,78229.9,79117.2,78039.6,21.94K,0.58%
2026/5/1,78229.8,76325,78860.1,76325,68.13K,2.51%
2026/4/30,76316.6,75775.1,76636.2,75337.4,43.39K,0.72%
2026/4/29,75771.6,76346.1,77882.4,74981.4,63.36K,-0.75%
2026/4/28,76346.2,77373.1,77467.8,75675.9,50.12K,-1.33%
2026/4/27,77373.1,78641.4,79461.7,76519.3,57.20K,-1.61%
2026/4/26,78641.1,77623.6,78895.9,77333.8,29.32K,1.31%
2026/4/25,77623.2,77431.8,77888.1,77201.6,23.00K,0.25%
2026/4/24,77431.8,78257.7,78526.3,77297.1,48.78K,-1.06%
2026/4/23,78257.7,78185.1,78611.5,76982.8,61.59K,0.09%
2026/4/22,78185.1,76332.7,79446.3,76150.7,71.69K,2.43%
2026/4/21,76332.7,75849.1,76863.9,74847.5,50.42K,0.64%
2026/4/20,75848.2,73806.8,76528.2,73763.4,58.58K,2.77%
2026/4/19,73807.2,75708,76218.1,73785.2,40.67K,-2.51%
2026/4/18,75708,77126.1,77411.8,75502.3,33.17K,-1.84%
2026/4/17,77127.2,75171.4,78268.4,74558.2,88.66K,2.60%
2026/4/16,75171.4,74800.3,75444,73395.2,55.47K,0.50%
2026/4/15,74800.3,74164.2,75384.1,73561,51.71K,0.86%
2026/4/14,74164.9,74436.1,76043.7,73874.8,97.85K,-0.42%
2026/4/13,74478.8,70742.4,74874.2,70575.3,84.73K,5.28%
2026/4/12,70744.2,73047.9,73136.6,70554.8,43.88K,-3.15%
2026/4/11,73046.1,72967.4,73765.4,72562.9,30.98K,0.12%
2026/4/10,72961.6,71787.8,73401.2,71438.9,60.69K,1.64%
2026/4/9,71784,71092.9,73053.2,70488.1,58.89K,0.95%
2026/4/8,71108.5,71933.6,72835.1,70749.2,68.29K,-1.15%
2026/4/7,71939,68846.8,72669.7,67753.1,70.34K,4.48%
